id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
g-164-47,G 164-47,41.9,,197.3940166666667,28.984194722222224,M4.8V,,14.1,13.5,77.896,
pm-j14223-7023,PM J14223-7023,41.9,,215.57064583333334,-70.39547472222223,M5,,15.2,14.6,77.77,
g-259-15,G 259-15,42,,262.81228749999997,82.09105555555556,M4,,,,77.735,
ucac4-258-045223,UCAC4 258-045223,42,,145.87426666666664,-38.56630444444444,,,,,77.725,
l-46-96,L 46-96,42,,307.0294916666667,-76.67659444444445,M4.5,,13.8,13.3,77.696,
lawd-73,LAWD 73,42,,285.04387916666667,70.6665275,DAP4.5,,,,77.67,
lp-779-34,LP 779-34,42.1,,93.79959166666666,-16.4392725,M4.0V,,,,77.536,
gaia-edr3-5225863906515477376,Gaia EDR3 5225863906515477376,42.1,,163.81640416666667,-73.93682111111112,,,,,77.499,
g-130-3,G 130-3,42.1,,355.718075,30.82137361111111,M5V,,,,77.484,
lspm-j2302-4338,LSPM J2302+4338,42.1,,345.7178958333334,43.63764027777778,M4.0V,,,,77.477,
bd-18-2776,BD+18 2776,42.1,,206.27327916666667,17.777288055555555,M1V,,9.8,9.2,77.441,
l-715-89,L 715-89,42.1,,330.5076916666667,-19.48278222222222,dM3.5,,12,11.5,77.44,
lp-791-3,LP 791-3,42.1,,161.11859166666667,-18.63715472222222,,,14.5,13.9,77.394,
g-138-38,G 138-38,42.2,,248.13947500000003,8.855146666666666,DA8,,,,77.353,
hd-36003,Gliese 204,42.2,,82.10737916666668,-3.5030994444444445,K5V,0.75,7.6,7.1,77.35,
hd-40307,HD 40307,42.2,,88.51720833333334,-60.02373722222222,K2.5V C,0.75,7.1,6.6,77.326,
lp-795-15,LP 795-15,42.2,,186.3796875,-15.994797777777777,M5.5,,15.3,14.7,77.278,
ross-42,Ross 42,42.3,,83.06026666666666,9.81985,M4Ve,,11.5,11,77.136,
lp-658-44,LP 658-44,42.3,,85.55220833333334,-5.461181666666667,M5.0V,,15.4,14.8,77.084,
bd-08-4887,BD+08 4887,42.3,,338.2617041666667,9.378605,M0V,,10.4,9.8,77.035,
lp-756-19,LP 756-19,42.4,,313.9072791666667,-14.03559138888889,M4V,,12.5,11.9,77.01,
g-234-37,G 234-37,42.4,,128.94440416666666,68.06670249999999,M3.0Ve,,,,76.937,
g-65-49,G 65-49,42.5,,216.23577083333336,8.888339444444444,M3V,,12.3,11.7,76.783,
hd-172051,HD 172051,42.5,,279.7221833333333,-21.052555555555557,G6V,0.865,5.9,5.3,76.741,
hd-27274,HD 27274,42.5,,63.9929625,-53.30804444444444,K4.5Vk:,0.736,7.6,7.1,76.664,
ucac4-317-104829,UCAC4 317-104829,42.5,,256.6722333333334,-26.726733055555552,,,15.4,14.8,76.655,
g-166-49,G 166-49,42.6,,222.79154583333332,31.110378055555557,M4.0V,,12.5,12,76.643,
lp-653-13,LP 653-13,42.6,,53.91775416666667,-8.491094444444444,M5.5V,,15.9,15.3,76.613,
wolf-1473,Wolf 1473,42.6,,266.62204166666663,-8.712042499999999,M3.5,,12.8,12.2,76.536,
2mass-j16291840-0335371,2MASS J16291840+0335371,42.6,,247.3277291666667,3.5929897222222222,T2,,,,76.5,
lspm-j1524-2925,LSPM J1524+2925,42.7,,231.10289166666666,29.422632500000002,M7.5V,,,,76.464,
upm-j1951-3100,UPM J1951-3100,42.7,,297.9183375,-31.006164722222223,,,12.3,11.7,76.44,
2mass-j08300825-4828482,2MASS J08300825+4828482,42.7,,127.53381250000001,48.47982888888889,L9.5,,,,76.42,
lp-12-382,LP 12-382,42.7,,7.702141666666667,77.7093325,,,,,76.4,
